env_package	slot	value	val_count	fraction
built	env_local_scale	low brightness [PATO:0000327]	58	0.00399724328049621
built	env_local_scale	military training area [ENVO:00000561]	1326	0.09138525155065472
built	env_local_scale	research facility [ENVO:00000469]	1936	0.13342522398345968
built	env_local_scale	sea water [ENVO:00002149]	33	0.0022742935906271537
built	env_local_scale	university campus [ENVO:00000467]	2196	0.15134390075809787
built	env_local_scale	unmapped [unmapped]	1498	0.10323914541695382
built	env_local_scale	zoological garden [ENVO:00010625]	11	0.0007580978635423845
built	env_medium	Cement [FMA:55630]	33	0.002272257797975625
built	env_medium	Feces [FMA:64183]	12	0.0008262755629002272
built	env_medium	Gossypium hirsutum [NCBITaxon:3635]	14	0.0009639881567169318
built	env_medium	SART-1 family protein DOT2 (Arabidopsis thaliana) [PR:Q9LFE0]	137	0.009433312676444261
built	env_medium	Surface [FMA:50594]	943	0.0649314879845762
built	env_medium	air [ENVO:00002005]	482	0.03318873510982579
built	env_medium	anthropogenic environmental material [ENVO:0010001]	3957	0.27246436686634995
built	env_medium	biological product [ENVO:02000043]	11	0.000757419265991875
built	env_medium	ceiling [ENVO:01000471]	742	0.05109137230599738
built	env_medium	cloth [ENVO:02000058]	27	0.0018591200165255113
built	env_medium	concrete [ENVO:01000458]	19	0.0013082696412586932
built	env_medium	dust [ENVO:00002008]	2677	0.18432830682365903
built	env_medium	food-grade textile surface [FOODON:03500045]	21	0.0014459822350753977
built	env_medium	glass [ENVO:01000480]	31	0.0021345452041589205
built	env_medium	gypsum [CHEBI:48838]	138	0.009502168973352614
built	env_medium	plastic [ENVO:06105101]	72	0.004957653377401363
built	env_medium	polymer [CHEBI:60027]	79	0.005439647455759829
built	env_medium	sand [ENVO:01000017]	918	0.06321008056186739
built	env_medium	sea water [ENVO:00002149]	4	0.00027542518763340907
built	env_medium	soil [ENVO:00001998]	49	0.0033739585485092613
built	env_medium	sterile water [ENVO:00005791]	4	0.00027542518763340907
built	env_medium	surface layer [ENVO:00010504]	1588	0.1093437994904634
built	env_medium	tile [ENVO:01000514]	13	0.0008951318598085794
built	env_medium	unmapped [unmapped]	2287	0.15747435102940163
built	env_medium	water [CHEBI:15377]	147	0.010121875645527783
built	env_medium	wood [ENVO:00002040]	118	0.008125043035185568
built	host_body_product	Mucus [FMA:66938]	1	0.004484304932735426
built	host_body_product	unmapped [unmapped]	222	0.9955156950672646
built	samp_collect_device	unmapped [unmapped]	779	1.0
host-associated	chem_administration	actin patches distal protein 1 (yeast) [PR:P38281]	47	0.22705314009661837
host-associated	chem_administration	control [EFO:0001461]	47	0.22705314009661837
host-associated	chem_administration	unmapped [unmapped]	64	0.30917874396135264
host-associated	chem_administration	vancomycin [CHEBI:28001]	49	0.23671497584541062
host-associated	env_broad_scale	Bos taurus x Bison bison [NCBITaxon:297284]	18	0.000244548604035052
host-associated	env_broad_scale	Cecum [FMA:14541]	9	0.000122274302017526
host-associated	env_broad_scale	Cervus nippon [NCBITaxon:9863]	27	0.00036682290605257795
host-associated	env_broad_scale	Feces [FMA:64183]	2	2.7172067115005773e-05
host-associated	env_broad_scale	Gut [FMA:45615]	9	0.000122274302017526
host-associated	env_broad_scale	Mus musculus [NCBITaxon:10090]	18	0.000244548604035052
host-associated	env_broad_scale	Serpentes [NCBITaxon:8570]	28	0.0003804089396100808
host-associated	env_broad_scale	Small lake biome [ENVO:00000892]	30	0.0004075810067250866
host-associated	env_broad_scale	amenity lake [ENVO:00000451]	1	1.3586033557502887e-05
host-associated	env_broad_scale	anatomical entity environment [ENVO:2100000]	48	0.0006521296107601385
host-associated	env_broad_scale	anthropogenic terrestrial biome [ENVO:01000219]	2128	0.028911079410366143
host-associated	env_broad_scale	aquatic biome [ENVO:00002030]	32	0.00043475307384009237
host-associated	env_broad_scale	artificial harbor [ENVO:00000464]	1	1.3586033557502887e-05
host-associated	env_broad_scale	backwater [ENVO:00000472]	1	1.3586033557502887e-05
host-associated	env_broad_scale	biome [ENVO:00000428]	8	0.00010868826846002309
host-associated	env_broad_scale	blank sample [NCBITaxon:2582415]	9	0.000122274302017526
host-associated	env_broad_scale	broadleaf forest biome [ENVO:01000197]	12	0.00016303240269003463
host-associated	env_broad_scale	clarified rumen fluid [MICRO:0000520]	7	9.51022349025202e-05
host-associated	env_broad_scale	coast [ENVO:01000687]	1	1.3586033557502887e-05
host-associated	env_broad_scale	coastal water body [ENVO:02000049]	47	0.0006385435772026357
host-associated	env_broad_scale	coral reef [ENVO:00000150]	20	0.00027172067115005776
host-associated	env_broad_scale	cropland biome [ENVO:01000245]	3	4.075810067250866e-05
host-associated	env_broad_scale	dense settlement biome [ENVO:01000248]	2570	0.03491610624278242
host-associated	env_broad_scale	diet [EFO:0002755]	90	0.0012227430201752598
host-associated	env_broad_scale	drinking water reservoir [ENVO:00000449]	1	1.3586033557502887e-05
host-associated	env_broad_scale	ecological corridor [ENVO:01000930]	3	4.075810067250866e-05
host-associated	env_broad_scale	estuarine biome [ENVO:01000020]	1030	0.013993614564227973
host-associated	env_broad_scale	farm [ENVO:00000078]	1	1.3586033557502887e-05
host-associated	env_broad_scale	feces [ENVO:00002003]	2	2.7172067115005773e-05
host-associated	env_broad_scale	flood control dam [ENVO:00000471]	1	1.3586033557502887e-05
host-associated	env_broad_scale	forest [ENVO:00000111]	288	0.003912777664560832
host-associated	env_broad_scale	forest biome [ENVO:01000174]	88	0.0011955709530602542
host-associated	env_broad_scale	fresh water [ENVO:00002011]	6	8.151620134501732e-05
host-associated	env_broad_scale	freshwater biome [ENVO:00000873]	292	0.003967121798790843
host-associated	env_broad_scale	freshwater lake biome [ENVO:01000252]	6	8.151620134501732e-05
host-associated	env_broad_scale	grassland biome [ENVO:01000177]	14402	0.19566605529515657
host-associated	env_broad_scale	gut metagenome [NCBITaxon:749906]	18	0.000244548604035052
host-associated	env_broad_scale	habitat [ENVO:01000739]	6	8.151620134501732e-05
host-associated	env_broad_scale	harbor [ENVO:00000463]	1	1.3586033557502887e-05
host-associated	env_broad_scale	hydroelectric dam [ENVO:00000468]	1	1.3586033557502887e-05
host-associated	env_broad_scale	hydroelectric reservoir [ENVO:00000448]	1	1.3586033557502887e-05
host-associated	env_broad_scale	intertidal zone [ENVO:00000316]	586	0.007961415664696691
host-associated	env_broad_scale	intestine environment [ENVO:2100002]	354	0.004809455879356022
host-associated	env_broad_scale	irrigation dam [ENVO:00000470]	1	1.3586033557502887e-05
host-associated	env_broad_scale	irrigation reservoir [ENVO:00000450]	1	1.3586033557502887e-05
host-associated	env_broad_scale	large river biome [ENVO:00000887]	1999	0.02715848108144827
host-associated	env_broad_scale	liman [ENVO:00000453]	1	1.3586033557502887e-05
host-associated	env_broad_scale	marine abyssal zone biome [ENVO:01000027] | polar biome [ENVO:01000339]	2	2.7172067115005773e-05
host-associated	env_broad_scale	marine bathyal zone biome [ENVO:01000026]	36	0.000489097208070104
host-associated	env_broad_scale	marine benthic biome [ENVO:01000024]	2647	0.03596223082671014
host-associated	env_broad_scale	marine benthic biome [ENVO:01000024] | archipelago [ENVO:00000220]	63	0.0008559201141226819
host-associated	env_broad_scale	marine biome [ENVO:00000447]	3652	0.049616194552000545
host-associated	env_broad_scale	marine coral reef biome [ENVO:01000049]	140	0.0019020446980504042
host-associated	env_broad_scale	marine hydrothermal vent biome [ENVO:01000030]	39	0.0005298553087426126
host-associated	env_broad_scale	marine hydrothermal vent biome [ENVO:01000030] | marine bathyal zone biome [ENVO:01000026]	37	0.0005026832416276068
host-associated	env_broad_scale	marine neritic benthic zone biome [ENVO:01000025]	13	0.00017661843624753752
host-associated	env_broad_scale	marine reef biome [ENVO:01000029]	30	0.0004075810067250866
host-associated	env_broad_scale	marine subtidal rocky reef biome [ENVO:01000050]	6	8.151620134501732e-05
host-associated	env_broad_scale	mediterranean shrubland biome [ENVO:01000217]	608	0.008260308402961755
host-associated	env_broad_scale	microbiome [EFO:0004982]	256	0.003478024590720739
host-associated	env_broad_scale	mixed forest biome [ENVO:01000198]	119	0.0016167379933428436
host-associated	env_broad_scale	montane grassland biome [ENVO:01000194]	2	2.7172067115005773e-05
host-associated	env_broad_scale	mouse gut metagenome [NCBITaxon:410661]	176	0.0023911419061205083
host-associated	env_broad_scale	natural harbor [ENVO:00000465]	1	1.3586033557502887e-05
host-associated	env_broad_scale	neritic epipelagic zone biome [ENVO:01000042]	48	0.0006521296107601385
host-associated	env_broad_scale	obsolete marine hydrographic feature [ENVO:00000466]	1	1.3586033557502887e-05
host-associated	env_broad_scale	ocean [ENVO:00000015]	10	0.00013586033557502888
host-associated	env_broad_scale	ocean biome [ENVO:01000048]	1163	0.01580055702737586
host-associated	env_broad_scale	outlet glacier [ENVO:00000459]	1	1.3586033557502887e-05
host-associated	env_broad_scale	penplain [ENVO:00000460]	1	1.3586033557502887e-05
host-associated	env_broad_scale	phosphatidylinositol 3-kinase 1 (Dictyostelium discoideum) [PR:P54673]	61	0.0008287480470076761
host-associated	env_broad_scale	plateau glacier [ENVO:00000457]	1	1.3586033557502887e-05
host-associated	env_broad_scale	polar desert biome [ENVO:01000186]	2	2.7172067115005773e-05
host-associated	env_broad_scale	polygenetic volcanic field [ENVO:00000462]	1	1.3586033557502887e-05
host-associated	env_broad_scale	pseudocrater [ENVO:00000461]	1	1.3586033557502887e-05
host-associated	env_broad_scale	rangeland biome [ENVO:01000247]	809	0.010991101148019836
host-associated	env_broad_scale	research facility [ENVO:00000469]	558	0.007581006725086611
